pair,target,confounder,method,rho,shot,auroc,sms_fixed_reference,auroc_change,sms_reduction,pareto
Pneumothorax__Support Devices,Pneumothorax,Support Devices,nuisance_balanced,,10,0.5743000030517578,1.0897850036621093,nan,nan,True
Edema__Cardiomegaly,Edema,Cardiomegaly,nuisance_balanced,,1,0.6002399921417236,1.028959608078003,nan,nan,True
Edema__Cardiomegaly,Edema,Cardiomegaly,nuisance_balanced,,3,0.6497449994087219,1.028774631023407,nan,nan,True
Edema__Cardiomegaly,Edema,Cardiomegaly,nuisance_balanced,,5,0.6684249997138977,0.9587758660316468,nan,nan,True
Edema__Cardiomegaly,Edema,Cardiomegaly,nuisance_balanced,,10,0.7085000038146972,0.9069579005241394,nan,nan,True
Pneumothorax__Support Devices,Pneumothorax,Support Devices,rex,,1,0.5049649953842164,1.6983492612838744,nan,nan,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,rex,,3,0.5162950038909913,2.309509015083313,nan,nan,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,rex,,5,0.5139400124549866,2.464163398742676,nan,nan,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,rex,,10,0.5294250071048736,2.6188843965530397,nan,nan,False
Edema__Cardiomegaly,Edema,Cardiomegaly,rex,,1,0.6583799958229065,1.7082102298736572,nan,nan,True
Edema__Cardiomegaly,Edema,Cardiomegaly,rex,,3,0.6739224910736084,2.2870604515075685,nan,nan,True
Edema__Cardiomegaly,Edema,Cardiomegaly,rex,,5,0.6989099979400635,2.5235628128051757,nan,nan,True
Edema__Cardiomegaly,Edema,Cardiomegaly,rex,,10,0.7255300045013428,2.6897783517837524,nan,nan,True
