pair,target,confounder,method,shot,metric,mean,std
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,sms_normalized_logit,1.0592981934547425,0.08403674434005633
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,support_swap_flip_rate,0.23900000154972076,0.07411140217502803
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,support_swap_error_gap,0.02699999213218689,0.01890767758867562
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,worst_support_panel_error,0.5089999973773957,0.028591961174132267
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,d0_auroc,0.5138400018215179,0.05101105578370457
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,d0_auprc,0.5264565527439118,0.042222399557248276
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,d1_auroc,0.5206400036811829,0.03962888234072189
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,d1_auprc,0.5105565011501312,0.02282568602756386
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,worst_nuisance_auroc,0.48224000334739686,0.025027351376433502
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,worst_nuisance_auprc,0.4913534641265869,0.008242264163107813
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,auroc,0.6832399964332581,0.03764974331207829
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,auprc,0.6463006138801575,0.04174588563200658
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,f1,0.6975508093833923,0.017020752994394348
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,brier,0.2356922835111618,0.006097104736539191
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,ece,0.09593002051115036,0.015541772570384188
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,false_positive_c0d1,0.5697426080703736,0.02609736923356107
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,sms_raw_logit,0.5791971564292908,0.10274819555005404
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,sms_normalized_logit,0.8771587967872619,0.11853877110495466
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,support_swap_flip_rate,0.20699999630451202,0.06190718913148262
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,support_swap_error_gap,0.04100000262260437,0.022192344365021162
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,worst_support_panel_error,0.43199999928474425,0.020186634715406934
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,d0_auroc,0.7276800155639649,0.03410031643393532
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,d0_auprc,0.6779077172279357,0.04281702211184187
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,d1_auroc,0.6415200114250184,0.07095653932656408
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,d1_auprc,0.6326687455177307,0.06741374983994718
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,worst_nuisance_auroc,0.6415200114250184,0.07095653932656408
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,worst_nuisance_auprc,0.624122703075409,0.06283155292578903
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,auroc,0.716099989414215,0.03977216176025612
