pair,target,confounder,method,shot,seed,temperature,threshold,metric,value
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,0,2.0,0.5,d1_auroc,0.6747999787330627
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,0,2.0,0.5,d1_auprc,0.6776946783065796
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,0,2.0,0.5,worst_nuisance_auroc,0.6747999787330627
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,0,2.0,0.5,worst_nuisance_auprc,0.6349644660949707
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,0,1.0,0.6,auroc,0.7450000047683716
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,0,1.0,0.6,auprc,0.7565861940383911
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,0,1.0,0.6,f1,0.6607142686843872
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,0,1.0,0.6,brier,0.2277681976556778
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,0,1.0,0.6,ece,0.16379143297672272
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,0,1.0,0.6,false_positive_c0d1,0.6146880984306335
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,0,1.0,0.6,sms_raw_logit,0.4371712803840637
